Data;Captação diária de poupança - mil;Captação mensal acumulada - mil
03/01/2022;-194992830;-2137834638,0
04/01/2022;67473499;
05/01/2022;11125769;
06/01/2022;78652630;
07/01/2022;313911002;
10/01/2022;-802354442;
11/01/2022;-174783963;
12/01/2022;-182785622;
13/01/2022;92961899;
14/01/2022;-38946223;
17/01/2022;-535021655;
18/01/2022;-97075580;
19/01/2022;-126311810;
20/01/2022;-97510834;
21/01/2022;-104196543;
24/01/2022;-367798235;
25/01/2022;-62001962;
26/01/2022;-58029144;
27/01/2022;-10647608;
28/01/2022;150497014;
